ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1,1,Cross,1000315026,3717,1541408500,,,82.18,,,In Service,,1992,Surrey,,,,,,,,,19890316,,49.157009,-122.794951
0,1,4,Tee,1000307716,42,1201205948,,,60.63,,,In Service,,1985,Surrey,,,,,,,,,19880621,,49.110968,-122.888880
,1,0,Cap,1001982030,,1580410426,200,DI,,,,In Service,7812-0265-00,2017,Surrey,,,Final AB,,,,,,20180131,20180131,49.191581,-122.784051
0,1,4,Tee,1000307258,12471,1535808068,,,43.65,,,In Service,,1990,Surrey,,,,,,,,,19910722,,49.149187,-122.796526
,1,0,Cap,1001982031,,1580410426,200,DI,,,,In Service,7812-0265-00,2017,Surrey,,,Final AB,,,,,,20180131,20180131,49.191588,-122.784052
0,1,4,Tee,1000307337,13772,1523608215,,,47.36,,,In Service,,1994,Surrey,,,,,,,,,19890320,,49.151837,-122.799877
0,1,4,Tee,1000307365,13345,1523408364,,,63.59,,,In Service,,1994,Surrey,,,,,,,,,19950303,,49.154546,-122.799927
0,1,4,Tee,1000307189,3799,1551008682,,,92.75,,,In Service,,1975,Surrey,,,,,,,,,19890320,,49.160300,-122.792297
0,1,4,Tee,1000306687,7439,1454010260,,,105.76,,,In Service,,1973,Surrey,,,,,,,,,19891003,,49.188878,-122.818926
0,1,4,Tee,1000306461,12112,1231209798,,,86.94,,,In Service,,1974,Surrey,,,,,,,,,19900810,,49.180597,-122.880449
0,1,4,Tee,1000306508,12404,1237009754,,,86.81,,,In Service,,1965,Surrey,,,,,,,,,19900824,,49.179813,-122.878840
0,1,4,Tee,1000313567,9613,1534702674,,,69.4,,,In Service,,1960,Surrey,,,,,,,,,19900309,20110415,49.051617,-122.797231
,1,2,Reducer,1001079048,,1914406836,350,DI,,,,In Service,7804-0193-00,2008,Surrey,,350 X 300 REDUCER,Final AB,,,,,,20090127,20090127,49.126407,-122.692242
0,1,4,Tee,1000309989,12677,1732205839,,,7.81,,,In Service,,1990,Surrey,,,,,,,,,19901018,20110415,49.108766,-122.742581
0,1,4,Tee,1000307829,200,1256706196,,,99.15,,,In Service,,1989,Surrey,,,,,,,,,19880624,20110415,49.115447,-122.873575
0,1,4,Tee,1000304136,8999,1322710011,,,92.06,,,In Service,,1973,Surrey,,,,,,,,,19900122,20180209,49.184428,-122.855181
,1,4,Tee,1001080141,,1405603096,100,DI,,40.56,,In Service,7805-0271-00,2008,Surrey,,,Final AB,,,,,,20090204,20090204,49.059026,-122.832755
